rank,name,nota
1796,Dungeons & Dragons Dice Masters: Battle for Faerûn,7.21
1797,Nyet!,6.77
1798,LYNGK,7.59
1799,Cytosis: A Cell Biology Board Game,7.03
1800,"Napoléon: The Waterloo Campaign, 1815",7.35
1801,Steampunk Rally Fusion,7.47
1802,Evergreen,7.59
1803,Vast: The Mysterious Manor,7.50
1804,Breakout: Normandy,7.69
1805,The Red Dragon Inn 3,7.21
1806,Edo,7.05
1807,Labyrinth,6.40
1808,Holland '44: Operation Market-Garden,8.30
1809,Field Commander: Napoleon,7.71
1810,Sol: Last Days of a Star,7.52
1811,Founding Fathers,6.96
1812,Holmes: Sherlock & Mycroft,6.79
1813,Eurorails,7.10
1814,Fertility,7.17
1815,Corinth,6.74
1816,The Rise of Queensdale,7.46
1817,Infinity N3: Core Book,8.06
1818,SPQR (Deluxe Edition),8.03
1819,Dominations: Road to Civilization,7.48
1820,Sniper Elite: The Board Game,7.93
1821,A Song of Ice & Fire: Tabletop Miniatures Game – Stark vs Lannister Starter Set,8.12
1822,Mare Nostrum,6.72
1823,Memoarrr!,6.89
1824,Cosmic Frog,7.41
1825,Seeland,6.91
1826,Warhammer: Diskwars,7.07
1827,Pax Pamir,7.43
1828,Carcassonne: Gold Rush,7.15
1829,Iberian Gauge,7.36
1830,Hoity Toity,6.52
1831,Tournament at Camelot,7.16
1832,Ground Floor,7.00
1833,Stellar,7.41
1834,Get on Board: New York & London,7.00
1835,Trans Europa,6.65
1836,Wits & Wagers Family,6.91
1837,Ganymede,7.19
1838,Wildlife Safari,6.67
1839,Mamma Mia!,6.47
1840,Arena: Roma II,6.88
1841,GROVE: A 9 card solitaire game,7.80
1842,B-17: Queen of the Skies,7.11
1843,Euchre,6.82
1844,Oltréé,7.58
1845,Sagani,7.20
1846,Europe Engulfed: WWII European Theatre Block Game,7.46
1847,Monolith Arena,7.42
1848,Theseus: The Dark Orbit,7.02
1849,Abalone,6.47
1850,Coal Baron: The Great Card Game,7.09
1851,The Boss,6.79
1852,Heroscape Marvel: The Conflict Begins,7.02
1853,Wasabi!,6.53
1854,Bootleggers,6.68
1855,Citrus,7.10
1856,Core Space,8.69
1857,Pax Transhumanity,7.54
1858,La Granja: No Siesta,6.79
1859,Frank's Zoo,6.61
1860,Neta-Tanka: Deluxe Edition,7.20
1861,Pandemic: Hot Zone – North America,7.03
1862,HEXplore It: The Valley of the Dead King,7.77
1863,Warhammer Underworlds: Nightvault,7.77
1864,Warfighter: The WWII Tactical Combat Card Game,7.88
1865,Marvel: Crisis Protocol,8.34
1866,Pyramid of Pengqueen,6.89
1867,Age of War,6.45
1868,Uprising: Curse of the Last Emperor,8.38
1869,Paris Connection,6.66
1870,Race! Formula 90,7.96
1871,Samurai Sword,6.66
1872,Ascension: Realms Unraveled,7.52
1873,Dr. Eureka,6.58
1874,Thunderstone Advance: Numenera,7.27
1875,Rise to Nobility,6.98
1876,Qin,6.79
1877,Last Aurora,7.35
1878,Cthulhu Realms,6.69
1879,Relic,6.76
1880,Terracotta Army,7.60
1881,Archaeology: The Card Game,6.66
1882,Hands in the Sea,7.85
1883,Marvel: Remix,7.49
1884,The Isle of Cats: Explore & Draw,7.52
1885,Boss Monster 2: The Next Level,6.72
1886,Spring Meadow,7.07
1887,Chakra,6.90
1888,Show Manager,6.99
1889,Snake Oil,6.67
1890,Serenissima,6.86
1891,Cutthroat Caverns,6.52
1892,Ticket to Ride: First Journey (U.S.),6.90
1893,burncycle,8.08
1894,Beyond Baker Street,6.83
1895,Meeple Land,7.29
1896,Riff Raff,6.93
1897,Kolejka,6.67
1898,Harbour,6.50
1899,Mysthea,7.63
1900,Exit: The Game – Advent Calendar: The Mystery of the Ice Cave,8.02
1901,Marvel Dice Masters: Age of Ultron,7.20
1902,5-Minute Mystery,7.12
1903,Dragomino,7.10
1904,Tiny Epic Pirates,7.08
1905,HeroQuest Advanced Quest,7.32
1906,Seikatsu,7.00
1907,Horus Heresy,7.04
1908,The Hanging Gardens,6.78
1909,2 de Mayo,6.89
1910,Sorcerer,7.62
1911,Belratti,7.16
1912,Castellion,6.90
1913,Tiny Epic Defenders (Second Edition),7.10
1914,Sentinels of the Multiverse: Definitive Edition,8.44
1915,D-Day Dice (Second Edition),7.47
1916,Bios: Genesis,7.11
1917,Hamsterrolle,6.81
1918,Starship Captains,7.29
1919,Dutch Blitz,6.71
1920,Conquest of the Empire,6.73
1921,Um Reifenbreite,6.79
1922,Catan Histories: Settlers of America – Trails to Rails,6.80
1923,Compounded,6.72
1924,CoraQuest,8.10
1925,Guilds of London,6.81
1926,The U.S. Civil War,8.30
1927,Hornet Leader: Carrier Air Operations,7.89
1928,Axis & Allies: 1942,6.92
1929,Bob Ross: Art of Chill Game,6.78
1930,The Dresden Files Cooperative Card Game,7.02
1931,Ribbit,6.77
1932,Gaslands: Post-Apocalyptic Vehicular Combat,8.08
1933,You're Bluffing!,6.57
1934,Rommel in the Desert,7.54
1935,Pathfinder Adventure Card Game: Wrath of the Righteous – Base Set,7.46
1936,Dealt!,7.06
1937,Space Station Phoenix,7.41
1938,Star Trek Panic,6.98
1939,Risk: Europe,7.42
1940,Bananagrams,6.38
1941,Duel of Ages II,7.36
1942,Cabo,7.08
1943,Lotus,6.69
1944,Dog Park,7.32
1945,Palastgeflüster,6.78
1946,Teenage Mutant Ninja Turtles: Shadows of the Past,7.41
1947,Pit,6.38
1948,"Warriors of God: The Wars of England & France, 1135-1453",7.42
1949,City of Horror,6.69
1950,Spades,6.78
1951,Impulse,6.81
1952,Challengers!,7.39
1953,Stop Thief!,6.99
1954,Perikles,6.89
1955,KeyForge: Worlds Collide,7.50
1956,That Time You Killed Me,7.67
1957,City of Spies: Estoril 1942,7.03
1958,Covert,7.07
1959,Summer Camp,7.20
1960,Lifeboats,6.58
1961,Keltis,6.42
1962,Skyjo,6.76
1963,Wings of War: Watch Your Back!,6.99
1964,Terra,6.80
1965,Mafia de Cuba,6.53
1966,Tinners' Trail,7.18
1967,Time's Up! Deluxe,7.47
1968,Dice Throne: Season Two – Cursed Pirate v. Artificer,7.89
1969,Fighting Formations: Grossdeutschland Motorized Infantry Division,7.61
1970,Quests of Valeria,6.92
1971,Empyreal: Spells & Steam,7.53
1972,Azul: Master Chocolatier,7.96
1973,Legends of Andor: The Last Hope,7.88
1974,Kepler-3042,7.31
1975,Sea Salt & Paper,7.22
1976,"Air, Land, and Sea: Critters at War",7.55
1977,Balderdash,6.47
1978,Lignum (Second Edition),7.68
1979,Taco Cat Goat Cheese Pizza,6.68
1980,Elasund: The First City,6.59
1981,Ardennes '44: The Battle of the Bulge,8.01
1982,The Flow of History,6.77
1983,Razzia!,6.85
1984,Guards of Atlantis II,8.62
1985,World War II: Barbarossa to Berlin,7.29
1986,The Princes of Machu Picchu,6.96
1987,Cube Quest,6.82
1988,Trek 12: Himalaya,6.88
1989,Hidden Leaders,6.92
1990,Flatline,7.10
1991,DungeonQuest,6.75
1992,March of the Ants,7.18
1993,XenoShyft: Dreadmire,7.22
1994,Dragonwood,6.59
1995,Sail to India,6.68
1996,Agents of SMERSH,6.97
1997,Exit: The Game – Theft on the Mississippi,7.17
1998,Resist!,7.73
1999,Fast Sloths,7.11
2000,Tenpenny Parks,7.58
